Country,Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",Depth of credit information index (0=low to 8=high),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)",Export value index (2000 = 100),Export volume index (2000 = 100),"Fertility rate, total (births per woman)",Fixed broadband Internet subscribers (per 100 people),GDP growth (annual %),GDP per capita (constant 2005 US$),"GDP per capita, PPP (constant 2011 international $)",Individuals using the Internet (% of population),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Mobile cellular subscriptions (per 100 people),"Own-account workers, female (% of female employment) (modeled ILO estimate)","Own-account workers, male (% of male employment) (modeled ILO estimate)","Own-account workers, total (% of male employment) (modeled ILO estimate)",Population ages 0-14 (% of total),"Population ages 0-14, total",Population ages 15-64 (% of total),"Population ages 15-64, total",Population ages 65 and above (% of total),"Population ages 65 and above, total",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Private credit bureau coverage (% of adults),Public credit registry coverage (% of adults),Rural population,Rural population (% of total population),"Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)",Tax payments (number),Telephone lines (per 100 people),Time required to enforce a contract (days),Time required to start a business (days),Time to prepare and pay taxes (hours),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Urban population,Urban population (% of total),"Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Net trade in goods and services (BoP, current US$)"
Bosnia and Herzegovina,100.0,10.4266,43.5833619126941,8.67399978637695,1.83899998664856,4.3270001411438,6.0,3.88800001144409,4.95900011062622,4.56899976730347,19.2439994812012,18.621000289917,19.5370006561279,32.2620010375977,19.3090000152588,38.3569984436035,48.4939994812012,62.076000213623,42.1040000915527,492.7034612,318.5716098,1.36,18.8371526972125,3.14407738358227,5382.62414642085,11337.5702648861,60.26,35.2690010070801,58.8050003051758,46.7270011901855,1409620.0,79.398,74.361,96.7933210039991,12.878999710083,18.6189994812012,16.5289993286133,14.2203345298702,500103.0,69.6459524751935,2449320.0,16.1337129949363,567393.0,68.6878125,-0.542908049545518,3516816.0,10.4,37.6,1845695.0,52.482,25.4400005340576,25.4160003662109,25.4249992370605,34.0,21.1836786456841,595.0,65.0,411.0,29.5779991149902,22.2029991149902,25.0599994659424,58.0639991760254,52.2389984130859,54.310001373291,1671121.0,47.518,21.55299949646,20.4579994678498,20.8559994697571,74.5599975585938,74.5839996337891,74.5749969482422,-2810928851.09672
United States,100.0,20.615,51.6523481467354,0.0829999968409538,0.0520000010728836,0.0659999996423721,8.0,2.15000009536743,4.96500015258789,3.67300009727478,1.6599999666214,0.88400000333786,2.31800007820129,18.7910003662109,8.25100040435791,27.7280006408691,79.5490036010742,90.8649978637695,69.9530029296875,186.0306196,155.0390891,1.8,33.0023993914823,1.48527919319146,52319.1633505427,53399.3591673623,76.176736982841,55.9900016784668,68.5579986572266,62.1599998474121,162776841.0,81.2,76.3,122.875872294896,5.01200008392334,7.06099987030029,6.12099981307983,19.0282314735596,61538430.0,65.9402912856634,213254816.0,15.0314772407769,48612690.0,35.3548798459019,0.734307439742705,323405935.0,100.0,0.0,58659368.0,18.138,7.24499988555908,12.0780000686646,9.85999965667725,10.6,37.7211959149307,420.0,5.6,175.0,4.78900003433228,4.93900012969971,4.86999988555908,9.25,11.3299999237061,10.3369998931885,264746567.0,81.862,5.09500008076429,7.11299987137317,6.1869998127222,92.754997253418,87.9219970703125,90.1399993896484,-479461000000.0
Ukraine,100.0,24.6626,45.75968438318,0.512000024318695,0.370999991893768,0.439000010490417,7.0,1.02499997615814,2.05100011825562,1.557000041008,15.0089998245239,13.2779998779297,16.6189994812012,24.9640007019043,13.9750003814697,35.1829986572266,60.0270004272461,72.7470016479492,48.1990013122559,249.5385143,130.6527167,1.466,12.2174081712797,2.30760193424764,2905.85744034369,7668.0557761534,53.0,47.2070007324219,63.189998626709,54.4440002441406,20770349.0,76.46,66.73,135.195655555072,13.8409996032715,16.5739994049072,15.2569999694824,15.2311238252759,6854713.0,68.6060763581231,30875921.0,16.162799816601,7274011.0,77.6893179581902,-0.331380509661391,45004645.0,40.0,0.0,13882133.0,30.846,15.3780002593994,18.996000289917,17.2530002593994,5.0,20.1447925835038,378.0,6.5,355.5,7.94399976730347,10.6199998855591,9.35000038146973,20.9669990539551,22.7880001068115,22.0100002288818,31122512.0,69.154,14.3529996275902,16.944999396801,15.6959999799728,84.6220016479492,81.0039978027344,82.7470016479492,-6453000000.0
Spain,100.0,8.678,51.3887383981403,0.587999999523163,0.405000001192093,0.488000005483627,7.0,3.3989999294281,6.27600002288818,4.97399997711182,4.22300004959106,2.13499999046326,5.94700002670288,19.6060009002686,8.42300033569336,28.8409996032715,76.1709976196289,89.4410018920898,65.2119979858398,251.1202565,166.3316583,1.33,30.4496118631965,3.27446273967742,31505.6122034216,33320.3727243715,80.5613329432179,52.3019981384277,64.2289962768555,58.101001739502,23016544.0,85.7,80.1,111.163325995733,8.76399993896484,13.8059997558594,11.5249996185303,14.7778623848635,6869351.0,66.0551114906204,30705099.0,19.1670261245162,8909612.0,92.9290937806121,0.0844301500680736,46484062.0,17.9,49.6,9371187.0,20.16,12.7510004043579,20.4869995117188,16.9869995117188,8.0,42.3554297640075,510.0,13.0,152.0,21.3819999694824,18.1219997406006,19.6299991607666,44.9550018310547,44.189998626709,44.5429992675781,37112875.0,79.84,9.351999938488,14.2109997570515,12.0129996240139,87.2490005493164,79.5130004882813,83.0130004882813,49525604695.837
Greece,100.0,7.4862,52.7588671544303,5.78000020980835,2.5699999332428,3.89599990844727,7.0,4.97800016403198,9.16399955749512,7.43499994277954,12.3730001449585,11.7430000305176,12.8159999847412,15.2449998855591,8.12600040435791,20.253999710083,72.3830032348633,80.1309967041016,66.9300003051758,240.1221107,186.962552,1.33,32.324041490324,-0.24431474084669,22687.6003260908,24211.7408896851,69.0879154723892,45.7019996643066,60.9650001525879,53.1590003967285,4906562.0,83.7,78.5,112.117716508538,18.7329998016357,25.7210006713867,22.8339996337891,14.3466983603661,1545996.0,65.4626512332753,7054236.0,20.1906504063587,2175739.0,83.5994647013189,-0.415913028277122,10775971.0,79.6,0.0,2329011.0,21.613,29.4909992218018,37.4550018310547,34.1650009155273,8.0,46.5046680369924,1580.0,13.0,193.0,28.1679992675781,19.9080009460449,23.5400009155273,50.7400016784668,44.3330001831055,47.2779998779297,8446960.0,78.387,24.513000011444,28.2910006046295,26.7299995422364,70.5090026855469,62.5449981689453,65.8349990844727,-1713491791.60504
Tunisia,100.0,7.6404,46.3805271792291,4.95599985122681,2.59100008010864,3.15799999237061,6.0,2.62899994850159,8.06700038909912,6.76100015640259,13.673999786377,12.085000038147,14.1899995803833,42.5400009155273,38.8390007019043,43.7430000305176,43.7859992980957,49.076000213623,42.0670013427734,231.9940233,142.5460328,2.201,5.61477747392673,1.1083929680381,4269.13976808591,10761.5145274606,49.6,24.386999130249,70.7900009155273,47.0579986572266,4083135.0,77.777,73.718,125.245701926328,11.6680002212524,19.6060009002686,17.701000213623,23.909266903605,2726433.0,68.3150975932471,7790140.0,7.77563550314788,886675.0,73.3988671472708,1.14291070797962,11403248.0,0.0,27.5,3609584.0,31.654,19.2530002593994,30.2639999389648,27.6200008392334,8.0,8.54255734857297,565.0,11.0,144.0,23.4710006713867,12.6389999389648,15.5100002288818,40.3310012817383,34.5330009460449,36.3540000915527,7793664.0,68.346,16.6240000724792,22.1970009803772,20.8590002059936,80.7470016479492,69.7360000610352,72.379997253418,-4575068667.46327
Montenegro,100.0,12.1036,48.286478165762,3.21399998664856,1.79200005531311,2.4300000667572,5.0,6.17500019073486,11.5830001831055,9.1569995880127,7.64799976348877,8.26500034332275,7.14300012588501,17.9589996337891,7.54099988937378,26.4810009002686,74.3929977416992,84.1940002441406,66.3759994506836,4.924831081081081,4.924831081081081,1.667,18.2700062836553,2.94934151488802,7492.86340571049,15737.0249188206,69.8816468416779,42.3170013427734,55.3619995117188,48.6780014038086,247596.0,79.48,74.723,165.561909913063,6.12900018692017,11.9029998779297,9.3120002746582,18.2647566475506,113662.0,67.4369844817575,419662.0,14.2982588706919,88978.0,46.2678810408922,0.0231425307711559,622303.0,0.0,30.8,210706.0,33.859,15.5179996490479,25.2779998779297,20.8990001678467,18.0,23.5462087287131,545.0,10.0,300.0,17.0900001525879,18.1900005340576,17.7000007629395,35.5369987487793,38.943000793457,37.6189994812012,411597.0,66.141,9.34300017356873,13.6949999332428,11.7420003414154,84.4820022583008,74.7220001220703,79.1009979248047,-978848488.295423
Lebanon,100.0,12.1762,46.8154896336229,5.08300018310547,3.21600008010864,3.65100002288818,6.0,2.31599998474121,13.951000213623,11.2410001754761,3.20000004768372,0.0450000017881393,4.19700002670288,20.132999420166,8.1230001449585,23.9260005950928,76.6669998168945,91.8030014038086,71.8870010375977,549.9893644,311.1985766,1.719,21.6426145077437,1.99999999985178,7143.95909540687,13267.8856986827,76.11,23.0340003967285,71.0179977416992,47.1440010070801,2164392.0,81.444,77.978,81.4184095075673,9.93200016021729,25.9120006561279,22.1900005340576,23.5678915498576,1415645.0,68.1127040815308,4091304.0,8.31940436861169,499719.0,587.162072336266,2.61757356847748,6006668.0,0.0,22.0,704822.0,11.734,17.3320007324219,43.0800018310547,37.0820007324219,20.0,30.237429470049,721.0,15.0,181.0,10.4729995727539,5.3289999961853,6.5789999961853,21.9689998626709,15.1129999160767,17.2189998626709,5301846.0,88.266,15.0150003433228,29.1280007362365,25.8410005569458,82.6679992675781,56.9199981689453,62.9179992675781,-12107086798.8
Portugal,100.0,9.9086,53.8024711586442,0.658999979496002,0.619000017642975,0.638000011444092,7.0,3.06200003623962,6.40100002288818,4.77500009536743,6.91300010681152,4.78599977493286,8.93200016021729,24.5,15.1450004577637,33.3800010681152,68.5869979858398,80.0690002441406,57.6879997253418,229.0856066,157.4307305,1.31,32.5464558260724,1.619414632551,22444.0710843784,27124.155038865,70.423567088723,53.5750007629395,64.2180023193359,58.5470008850098,5207267.0,84.2,78.2,111.574442466934,9.69699954986572,14.918999671936,12.375,13.8617403036187,1431287.0,65.0184585311446,6713450.0,21.1198011652367,2180715.0,112.717122427815,-0.315459016997883,10325452.0,7.8,100.0,3708283.0,35.914,13.4180002212524,21.9379997253418,17.7880001068115,8.0,46.1612917626135,547.0,5.0,243.0,11.1719999313354,10.9720001220703,11.0699996948242,28.7399997711182,27.3169994354248,27.992000579834,6617169.0,64.086,10.3559995293617,15.537999689579,13.0130000114441,86.5820007324219,78.0619964599609,82.2119979858398,3623606723.20494
South Asia,85.5691498225237,33.6864550901314,53.8015312842142,32.2481569805651,9.42323324816966,15.1891227210024,3.875,0.473881220096864,2.04284050255947,1.64635100016184,43.8752577461573,59.8961174205263,38.460842717203,22.8069791396771,16.6547251782317,24.8862741515565,33.3170098539935,23.4494488815494,36.6528671650403,4.924831081081081,4.924831081081081,2.45961420697189,1.58888173861239,6.83468802612113,1692.05069808759,5624.74471773812,26.4777357008626,28.6382899633635,79.5286741375509,54.6989706779783,683019429.0,70.3044680826624,67.2546042366231,83.8799490940943,47.1981476821294,61.7201750132408,58.0518613992951,29.3086307543117,517705811.0,65.1156984069694,1150199603.0,5.57567083871895,98488299.0,370.190759574874,1.27243267472549,1766393714.0,14.025,4.2125,1181309025.0,66.8768811159515,79.9209062801074,73.1860337025777,74.8873330140082,31.875,1.79893772238605,1101.65,15.8125,284.25,4.76992681084864,3.33649958304929,3.70224982188336,11.8165544752188,9.87360481716062,10.3387780358288,585084689.0,33.1231188840485,79.4463046626944,71.1434082614105,73.2409841202976,20.0790925100131,26.8139647877345,25.1126684197384,4.924831081081081
Cameroon,60.0747680664063,108.8318,85.4205882355268,1.85399997234344,0.941999971866608,1.36600005626678,1.0,2.93400001525879,4.07299995422363,3.54399991035461,62.0369987487793,65.3369979858398,59.1689987182617,9.29899978637695,7.02400016784668,11.2749996185303,28.6650009155273,27.6389999389648,29.5550003051758,216.3758604,98.24900328,4.708,0.196141598585173,4.45045326629905,1495.44336202907,3346.81779272084,25.0,71.161003112793,81.2669982910156,76.1890029907227,10196177.0,59.232,56.922,79.8555914199932,79.6340026855469,62.148998260498,70.2740020751953,42.9044196025724,10056448.0,53.9314436177805,12641093.0,3.16413677964711,741648.0,49.5847115567684,2.61358514949048,23439189.0,0.0,8.0,10505679.0,44.821,84.4219970703125,67.1640014648438,75.1829986572266,44.0,4.48425497998246,800.0,16.5,648.0,5.22499990463257,3.40899991989136,4.26100015640259,10.7670001983643,7.52500009536743,9.02400016784668,12933510.0,55.179,81.4880026578903,63.0909982323646,71.6400021314621,15.5780000686646,32.8359985351563,24.8169994354248,-828668887.093496
